Account,Token Account,Quantity,Percentage
7XGAV46ChZ3n5hhMKYgr9gqNy3YeRKHeaoy54YXy6HNG,HNUKB8rMjzU65kxCFX9gamJZBisVGzmNgB2vJK7ez2y3,485422177.562029,48.23
GpWkj1qNGMiv3dFiAaEPrF6Eptfc3wnkuArSBYr6ZQ88,EktcpUa3WjSvbuUaDfyXYQYEbmKoyL3WDan5ow8qYZwV,96575239.016224,9.59
7s1ehBHXQmtRyqcZPJgA6ATrDMdGjVAFbugREzNu9kg7,7s1ehBHXQmtRyqcZPJgA6ATrDMdGjVAFbugREzNu9kg7,58000000,5.76
2WcgLJb5nMwdKzyDmynmXqWZuwuFNoPhpvBGWn3QLD23,8Su3s545ZKGbinUpWjDvYqZ1cEByyaA6VNishjqCXEdr,34322669.915349,3.41
8jbHjgBDpa41H5aHczYraGm9qXgUPaiTyFANAYqhbQxN,GD7JC9gjTnEU4bUSzSHCgwsQ1i4JDpLbdFtQfXHsTSsM,23947988.857091,2.38
HQnkDHbPFSqad1PUQ1o1eCWGS64VUD5GYGKdZHkb2Kds,7Qz4vcBjk5b8WqMSCFJoaNSS49TRPvPgrSmZcoaey4yQ,19312770.472765,1.92
F45cLNoFG97PwgperCk2oEMgETUQ4afXmXAGGLsSoKCu,Hz5aoAkthuMtDKsnibZGYYyQ5SFmf9GF4PPXjn3EKe7o,18375260.547308,1.83
99SfCP2A9pZSBwVc8A4StqFJrEPyF75uNji3GYGee7Mv,DosFTKgU2jomP4hWWLFegvRFdqu3J5Ncmsk2pHjUmGte,15588510.529902,1.55
7HaDBh8jiJWg1jULWmeLftvu1dp1qMtPYhGFVgv7gLTk,EBt4tAyjqV2p6WJRTts975DFsZwSPQt6PDQWXJndmr5d,15550570.221023,1.54
Djv3FndASyAjRy6oyt1YQZKk8dxmqLtrvT9mXPW7LZ7j,EU55Y7E76MmtkJY2rwTq1KDuFp72hAes4dLsYPayXU3Z,15132472.165493,1.50
FmaLzDh6es6VeTUFWDkzRr4Td1rFh6UxTM14bXuhFvkf,6G3EjSbgW7Q3yARoWJA5vMV6ECkiEHK5NhUK6SYJ8tT1,14849022.333924,1.48
H3WwWaX1Afj2kpCsCsawZqxk5CHpXDHz9FzLgZmyPecu,5XNokDTTYW7AmMeSjfkD5mjfVDw8jZ8fxkakrakSJQwA,13731856.657442,1.36
o5ToUv98emv62jrUQNyan43FpAr31f6A2K4B8eRquuV,TwthWDYEA3tfRxy4rarjDuJAhm3uWvALFJpzrjsJ25g,13090245.545645,1.30
4zmqU8ntBkrCKoFdjyfW1fVKQBczXNnsHQLmAaQwRKti,CBDHZ4ynA1tp6u7gpizb5ggGGpYNTfvLomrkENd7fmZy,11444393.362677,1.14
2L9QC3LGvvyzDnWnZaSe4wHG4w47kWpgLc2thEKJGknE,9VZjj4PGweGLPwKkK5tv2XjP5nneAdUBPxWyjCriGVBM,11417700.475906,1.13
5s4AHLdEbXNSXiiZjYHtQKAMvkbFypy7uzHpgwwX6kv6,4M32okZdS7WHh5ZDQT9Fa7dfhsBWMAHWfvbP2gXUZqyi,11187034.727185,1.11
